UBERON:0000000	processual entity
UBERON:0002084	heart left ventricle
UBERON:0002085	interatrial septum
UBERON:0002089	thoracodorsal vein
UBERON:0002090	postcranial axial skeleton
UBERON:0002091	appendicular skeleton
UBERON:0002092	brain dura mater
UBERON:0002093	spinal dura mater
UBERON:0002094	interventricular septum
UBERON:0002095	mesentery
UBERON:0002097	skin of body
UBERON:0002099	cardiac septum
UBERON:0002100	trunk
UBERON:0002101	limb
UBERON:0002102	forelimb
UBERON:0002103	hindlimb
UBERON:0002104	visual system
UBERON:0002105	vestibulo-auditory system
UBERON:0002106	spleen
UBERON:0002107	liver
UBERON:0002108	small intestine
UBERON:0002109	pair of nares
UBERON:0002110	gall bladder
UBERON:0002111	artery smooth muscle tissue
UBERON:0002112	smooth muscle of esophagus
UBERON:0002113	kidney
UBERON:0002114	duodenum
UBERON:0002115	jejunum
UBERON:0002116	ileum
UBERON:0002118	right ovary
UBERON:0002119	left ovary
UBERON:0002120	pronephros
UBERON:0002122	capsule of thymus
UBERON:0002123	cortex of thymus
UBERON:0002124	medulla of thymus
UBERON:0002125	thymus lobule
UBERON:0002128	superior olivary complex
UBERON:0002129	cerebellar cortex
UBERON:0002148	locus ceruleus
UBERON:0002149	superior salivatory nucleus
UBERON:0002165	endocardium
UBERON:0002166	endocardium of atrium
UBERON:0002167	right lung
UBERON:0002168	left lung
UBERON:0002169	alveolar sac
UBERON:0002173	pulmonary alveolar duct
UBERON:0002180	ventral funiculus of spinal cord
UBERON:0002185	bronchus
UBERON:0002186	bronchiole
UBERON:0002187	terminal bronchiole
UBERON:0002188	respiratory bronchiole
UBERON:0002190	subcutaneous adipose tissue
UBERON:0002191	subiculum
UBERON:0002193	hemolymphoid system
UBERON:0002194	capsule of lymph node
UBERON:0002196	adenohypophysis
UBERON:0002198	neurohypophysis
UBERON:0002199	integument
UBERON:0002200	vasculature of head
UBERON:0002201	vasculature of trunk
UBERON:0002202	submucosa of trachea
UBERON:0002203	vasculature of eye
UBERON:0002204	musculoskeletal system
UBERON:0002206	mammillary body
UBERON:0002209	fibrous joint
UBERON:0002211	nerve root
UBERON:0002212	macula of saccule of membranous labyrinth
UBERON:0002213	cartilaginous joint
UBERON:0002214	macula of utricle of membranous labyrinth
UBERON:0002215	synchondrosis
UBERON:0002216	symphysis
UBERON:0002217	synovial joint
UBERON:0002224	thoracic cavity
UBERON:0002227	spiral organ of cochlea
UBERON:0002228	rib
UBERON:0002234	proximal phalanx of manus
UBERON:0002237	true rib
UBERON:0002240	spinal cord
UBERON:0002241	chondrocranium
UBERON:0002242	nucleus pulposus
UBERON:0002255	vomeronasal organ
UBERON:0002256	dorsal horn of spinal cord
UBERON:0002257	ventral horn of spinal cord
UBERON:0002261	dorsal root of spinal cord
UBERON:0002264	olfactory bulb
UBERON:0002265	olfactory tract
UBERON:0002268	olfactory organ
UBERON:0002271	periventricular zone of hypothalamus
UBERON:0002272	medial zone of hypothalamus
UBERON:0002275	reticular formation
UBERON:0002276	lamina of spiral limbus
UBERON:0002278	perilymphatic space
UBERON:0002282	stria vascularis of cochlear duct
UBERON:0002285	telencephalic ventricle
UBERON:0002290	choroid plexus of fourth ventricle
UBERON:0002294	biliary system
UBERON:0002295	scala media
UBERON:0002296	dorsal mesentery
UBERON:0002298	brainstem
UBERON:0002299	alveolus of lung
UBERON:0002301	layer of neocortex
UBERON:0002302	myocardium of atrium
UBERON:0002303	juxtaglomerular apparatus
UBERON:0002304	layer of dentate gyrus
UBERON:0002305	layer of hippocampus
UBERON:0002306	nasal mucus
UBERON:0002307	choroid plexus of lateral ventricle
UBERON:0002308	nucleus of brain
UBERON:0002310	hippocampus fimbria
UBERON:0002313	hippocampus pyramidal layer
UBERON:0002315	gray matter of spinal cord
UBERON:0002316	white matter
UBERON:0002318	white matter of spinal cord
UBERON:0002319	mesangium
UBERON:0002320	glomerular mesangium
UBERON:0002321	extraglomerular mesangium
UBERON:0002323	coelemic cavity lumen
UBERON:0002324	muscle of back
UBERON:0002325	epithelium of urethra
UBERON:0002326	lamina propria of urethra
UBERON:0002327	trunk of intercostal nerve
UBERON:0002328	notochord
UBERON:0002329	somite
UBERON:0002330	exocrine system
UBERON:0002331	umbilical cord
UBERON:0002333	pulmonary trunk
UBERON:0002335	macula densa
UBERON:0002337	endometrial stroma
UBERON:0002338	lamina propria of bronchus
UBERON:0002342	neural crest
UBERON:0002343	abdomen musculature
UBERON:0002346	neurectoderm
UBERON:0002347	thoracic vertebra
UBERON:0002348	epicardium
UBERON:0002349	myocardium
UBERON:0002350	conducting system of heart
UBERON:0002351	sinoatrial node
UBERON:0002352	atrioventricular node
UBERON:0002353	bundle of His
UBERON:0002355	pelvic region of trunk
UBERON:0002357	serous pericardium
UBERON:0002358	peritoneum
UBERON:0002359	fibrous pericardium
UBERON:0002360	meninx
UBERON:0002361	pia mater
UBERON:0002362	arachnoid mater
UBERON:0002363	dura mater
UBERON:0002364	tympanic membrane
UBERON:0002365	exocrine gland
UBERON:0002367	prostate gland
UBERON:0002368	endocrine gland
UBERON:0002369	adrenal gland
UBERON:0002370	thymus
UBERON:0002371	bone marrow
UBERON:0002372	tonsil
UBERON:0002374	metacarpal bone
UBERON:0002376	cranial muscle
UBERON:0002377	muscle of neck
UBERON:0002378	muscle of abdomen
UBERON:0002380	trapezius muscle
UBERON:0002381	pectoralis major
UBERON:0002384	connective tissue
UBERON:0002385	muscle tissue
UBERON:0002386	forelimb zeugopod
UBERON:0002387	pes
UBERON:0002389	manual digit
UBERON:0002390	hematopoietic system
UBERON:0002391	lymph
UBERON:0002392	nasolacrimal duct
UBERON:0002394	bile duct
UBERON:0002398	manus
UBERON:0002400	parietal pleura
UBERON:0002401	visceral pleura
UBERON:0002402	pleural cavity
UBERON:0002405	immune system
UBERON:0002406	pericardial sac
UBERON:0002407	pericardium
UBERON:0002408	parietal serous pericardium
UBERON:0002409	pericardial fluid
UBERON:0002410	autonomic nervous system
UBERON:0002411	clitoris
UBERON:0002412	vertebra
UBERON:0002413	cervical vertebra
UBERON:0002415	tail
UBERON:0002416	integumental system
UBERON:0002417	abdominal segment of trunk
UBERON:0002418	cartilage tissue
UBERON:0002419	skin gland
UBERON:0002420	basal ganglion
UBERON:0002421	hippocampal formation
UBERON:0002422	fourth ventricle
UBERON:0002423	hepatobiliary system
UBERON:0002424	oral epithelium
UBERON:0002425	visceral serous pericardium
UBERON:0002426	chest muscle
UBERON:0002427	arm skin
UBERON:0002428	limb bone
UBERON:0002429	cervical lymph node
UBERON:0002435	striatum
UBERON:0002437	cerebral hemisphere white matter
UBERON:0002442	axillary nerve trunk
UBERON:0002443	choroidal blood vessel
UBERON:0002446	patella
UBERON:0002450	decidua
UBERON:0002451	endometrial gland
UBERON:0002456	internal thoracic artery
UBERON:0002457	intersomitic artery
UBERON:0002458	spinal artery
UBERON:0002460	vesical vein
UBERON:0002464	nerve trunk
UBERON:0002465	lymphoid system
UBERON:0002466	intestine secretion
UBERON:0002469	esophagus mucosa
UBERON:0002470	autopod region
UBERON:0002471	zeugopod
UBERON:0002472	stylopod
UBERON:0002478	orbitosphenoid
UBERON:0002481	bone tissue
UBERON:0002482	lamellar bone
UBERON:0002484	bone marrow cavity
UBERON:0002485	prostate duct
UBERON:0002495	long bone
UBERON:0002497	acromion
UBERON:0002498	deltopectoral crest
UBERON:0002499	cochlear labyrinth
UBERON:0002506	iris epithelium
UBERON:0002507	abdominal lymph node
UBERON:0002509	mesenteric lymph node
UBERON:0002512	corpus luteum
UBERON:0002513	endochondral bone
UBERON:0002515	periosteum
UBERON:0002517	basicranium
UBERON:0002518	otolith organ
UBERON:0002521	elastic tissue
UBERON:0002522	tunica media
UBERON:0002523	tunica intima
UBERON:0002527	pancreatic lymph node
UBERON:0002529	limb segment
UBERON:0002530	gland
UBERON:0002532	epiblast (generic)
UBERON:0002533	post-anal tail bud
UBERON:0002536	arthropod sensillum
UBERON:0002539	pharyngeal arch
UBERON:0002540	lateral line system
UBERON:0002544	digit
UBERON:0002546	cranial placode
UBERON:0002553	anatomical cavity
UBERON:0002558	organ cavity
UBERON:0002561	lumen of central nervous system
UBERON:0002600	limbic lobe
UBERON:0002610	cochlear nuclear complex
UBERON:0002616	regional part of brain
UBERON:0002663	septal nuclear complex
UBERON:0002726	cervical spinal cord
UBERON:0002731	vestibulocochlear nerve root
UBERON:0002743	basal forebrain
UBERON:0002749	regional part of cerebellar cortex
UBERON:0002770	posterior hypothalamic region
UBERON:0002802	left parietal lobe
UBERON:0002803	right parietal lobe
UBERON:0002804	left limbic lobe
UBERON:0002805	right limbic lobe
UBERON:0002808	left temporal lobe
UBERON:0002809	right temporal lobe
UBERON:0002810	right frontal lobe
UBERON:0002811	left frontal lobe
UBERON:0002812	left cerebral hemisphere
UBERON:0002813	right cerebral hemisphere
UBERON:0002827	vestibulocochlear ganglion
UBERON:0002834	cervical dorsal root ganglion
UBERON:0002835	thoracic dorsal root ganglion
UBERON:0002871	hypoglossal nucleus
UBERON:0002921	longitudinal fissure
UBERON:0002925	trigeminal nucleus
UBERON:0002926	gustatory epithelium
UBERON:0002928	dentate gyrus polymorphic layer
UBERON:0002956	granular layer of cerebellar cortex
UBERON:0003023	pontine tegmentum
UBERON:0003037	septum
UBERON:0003038	thoracic spinal cord
UBERON:0003041	trigeminal nerve fibers
UBERON:0003050	olfactory placode
UBERON:0003051	ear vesicle
UBERON:0003052	midbrain-hindbrain boundary
UBERON:0003055	periderm
UBERON:0003056	pre-chordal neural plate
UBERON:0003057	chordal neural plate
UBERON:0003059	presomitic mesoderm
UBERON:0003060	pronephric duct
UBERON:0003061	blood island
UBERON:0003063	prechordal plate
UBERON:0003064	intermediate mesoderm
UBERON:0003066	pharyngeal arch 2
UBERON:0003067	dorsolateral placode
UBERON:0003068	axial mesoderm
UBERON:0003069	otic placode
UBERON:0003070	trigeminal placode complex
UBERON:0003071	eye primordium
UBERON:0003072	optic cup
UBERON:0003073	lens placode
UBERON:0003074	mesonephric duct
UBERON:0003075	neural plate
UBERON:0003076	posterior neural tube
UBERON:0003077	paraxial mesoderm
UBERON:0003078	epibranchial placode
UBERON:0003080	anterior neural tube
UBERON:0003081	lateral plate mesoderm
UBERON:0003082	myotome
UBERON:0003083	trunk neural crest
UBERON:0003084	heart primordium
UBERON:0003086	caudal artery
UBERON:0003089	sclerotome
UBERON:0003091	thyroid primordium
UBERON:0003098	optic stalk
UBERON:0003099	cranial neural crest
UBERON:0003100	female organism
UBERON:0003101	male organism
UBERON:0003102	surface structure
UBERON:0003103	compound organ
UBERON:0003104	mesenchyme
UBERON:0003110	otic region
UBERON:0003111	sphenoid region
UBERON:0003113	dermatocranium
UBERON:0003114	pharyngeal arch 3
UBERON:0003115	pharyngeal arch 4
UBERON:0003117	pharyngeal arch 6
UBERON:0003118	pharyngeal arch artery 1
UBERON:0003119	pharyngeal arch artery 2
UBERON:0003120	pharyngeal arch artery 3
UBERON:0003121	pharyngeal arch artery 4
UBERON:0003123	pharyngeal arch artery 6
UBERON:0003124	chorion membrane
UBERON:0003126	trachea
UBERON:0003127	open tracheal system trachea
UBERON:0003128	cranium
UBERON:0003129	skull
UBERON:0003133	reproductive organ
UBERON:0003134	female reproductive organ
UBERON:0003135	male reproductive organ
UBERON:0003210	blood-cerebrospinal fluid barrier
UBERON:0003212	gustatory organ
UBERON:0003214	mammary gland alveolus
UBERON:0003215	alveolus
UBERON:0003218	ovary septum
UBERON:0003220	metanephric mesenchyme
UBERON:0003221	phalanx
UBERON:0003229	epithelium of elbow
UBERON:0003230	epithelium of carpal region
UBERON:0003231	epithelium of hip
UBERON:0003232	epithelium of knee
UBERON:0003233	epithelium of shoulder
UBERON:0003236	epithelium of lower jaw
UBERON:0003241	epithelium of utricle
UBERON:0003242	epithelium of saccule
UBERON:0003243	epithelium of cochlear duct
UBERON:0003244	epithelium of mammary gland
UBERON:0003247	epithelium of forearm
UBERON:0003248	epithelium of footplate
UBERON:0003249	epithelium of otic placode
UBERON:0003252	thoracic rib cage
UBERON:0003253	neck of rib
UBERON:0003254	amniotic ectoderm
UBERON:0003257	yolk sac endoderm
UBERON:0003258	endoderm of foregut
UBERON:0003259	endoderm of midgut
UBERON:0003260	endoderm of hindgut
UBERON:0003261	thyroid primordium endoderm
UBERON:0003262	amniotic mesoderm
UBERON:0003265	chorionic mesenchyme
UBERON:0003268	tooth of lower jaw
UBERON:0003269	skeletal muscle tissue of eye
UBERON:0003278	skeleton of lower jaw
UBERON:0003279	endothelium of trachea
UBERON:0003281	mesentery of stomach
UBERON:0003282	mesentery of heart
UBERON:0003283	mesentery of oesophagus
UBERON:0003284	mesentery of midgut
UBERON:0003288	meninx of midbrain
UBERON:0003289	meninx of telencephalon
UBERON:0003290	meninx of diencephalon
UBERON:0003291	meninx of hindbrain
UBERON:0003292	meninx of spinal cord
UBERON:0003294	gland of foregut
UBERON:0003295	pharyngeal gland
UBERON:0003296	gland of diencephalon
UBERON:0003297	gland of integumental system
UBERON:0003304	mesoderm blood island
UBERON:0003312	mesenchyme of testis
UBERON:0003314	eye mesenchyme
UBERON:0003315	mesenchyme of ovary
UBERON:0003316	mesenchyme of yolk sac
UBERON:0003318	mesenchyme of elbow
UBERON:0003319	mesenchyme of carpal region
UBERON:0003320	mesenchyme of hip
UBERON:0003321	mesenchyme of knee
UBERON:0003322	mesenchyme of shoulder
UBERON:0003324	mesenchyme of lower jaw
UBERON:0003325	mesenchyme of pinna
UBERON:0003326	mesenchyme of mammary gland
UBERON:0003327	mesenchyme of forearm
UBERON:0003328	mesenchyme of footplate
UBERON:0003329	submucosa of anal canal
UBERON:0003330	submucosa of rectum
UBERON:0003331	submucosa of colon
UBERON:0003332	submucosa of duodenum
UBERON:0003333	submucosa of jejunum
UBERON:0003334	serosa of rectum
UBERON:0003335	serosa of colon
UBERON:0003336	serosa of duodenum
UBERON:0003337	serosa of jejunum
UBERON:0003338	ganglion of peripheral nervous system
UBERON:0003339	ganglion of central nervous system
UBERON:0003342	mucosa of anal canal
UBERON:0003343	mucosa of oral region
UBERON:0003346	mucosa of rectum
UBERON:0003350	epithelium of mucosa
UBERON:0003351	pharyngeal epithelium
UBERON:0003352	epithelium of midgut
UBERON:0003353	epithelium of hindgut
UBERON:0003354	epithelium of rectum
UBERON:0003357	epithelium of tongue
UBERON:0003364	epithelium of right lung
UBERON:0003365	epithelium of left lung
UBERON:0003367	epithelium of vomeronasal organ
UBERON:0003371	pelvic appendage bud ectoderm
UBERON:0003372	pectoral appendage bud ectoderm
UBERON:0003373	ectoderm of footplate
UBERON:0003374	chorionic ectoderm
UBERON:0003379	cardiac muscle of right atrium
UBERON:0003380	cardiac muscle of left atrium
UBERON:0003381	cardiac muscle of right ventricle
UBERON:0003382	cardiac muscle of left ventricle
UBERON:0003383	cardiac muscle tissue of interventricular septum
UBERON:0003384	skeletal muscle tissue of pharynx
UBERON:0003386	smooth muscle of eye
UBERON:0003387	smooth muscle of trachea
UBERON:0003388	mesothelium of pericardial cavity
UBERON:0003390	mesothelium of pleural cavity
UBERON:0003393	mesentery of urinary system
UBERON:0003394	mesentery of hindgut
UBERON:0003395	mesentery of rectum
UBERON:0003396	mesentery of colon
UBERON:0003397	mesentery of duodenum
UBERON:0003398	mesentery of jejunum
UBERON:0003403	skin of forearm
UBERON:0003406	cartilage of respiratory system
UBERON:0003408	gland of digestive tract
UBERON:0003409	gland of tongue
UBERON:0003412	pelvic appendage bud mesenchyme
UBERON:0003413	pectoral appendage bud mesenchyme
UBERON:0003416	mesenchyme of tongue
UBERON:0003421	mesenchyme of vomeronasal organ
UBERON:0003422	mesenchyme of umbilical cord
UBERON:0003425	renal lymph node
UBERON:0003426	dermis adipose tissue
UBERON:0003429	abdomen nerve
UBERON:0003430	neck nerve
UBERON:0003431	leg nerve
UBERON:0003432	chest nerve
UBERON:0003433	arm nerve
UBERON:0003434	wrist nerve
UBERON:0003435	pedal digit nerve
UBERON:0003436	shoulder nerve
UBERON:0003437	eyelid nerve
UBERON:0003438	iris nerve
UBERON:0003439	nerve of trunk region
UBERON:0003440	limb nerve
UBERON:0003441	forelimb nerve
UBERON:0003442	hindlimb nerve
UBERON:0003443	thoracic cavity nerve
UBERON:0003444	pelvis nerve
UBERON:0003445	pes nerve
UBERON:0003446	ankle nerve
UBERON:0003447	digit nerve of manus
UBERON:0003448	manus nerve
UBERON:0003449	tail intervertebral disc
UBERON:0003453	large intestine Peyer's patch
UBERON:0003454	small intestine Peyer's patch
UBERON:0003455	inner renal medulla loop of Henle
UBERON:0003456	respiratory system lymphatic vessel
UBERON:0003457	head bone
UBERON:0003458	neck bone
UBERON:0003459	chest bone
UBERON:0003460	arm bone
UBERON:0003461	shoulder bone
UBERON:0003462	facial bone
UBERON:0003463	trunk bone
UBERON:0003464	hindlimb bone
UBERON:0003466	forelimb zeugopod bone
UBERON:0003468	ureteric segment of renal artery
UBERON:0003469	respiratory system artery
UBERON:0003471	artery of lower lip
UBERON:0003472	cerebellar artery
UBERON:0003473	thoracic cavity artery
UBERON:0003474	meningeal artery
UBERON:0003475	ureteric vein
UBERON:0003476	respiratory system venous blood vessel
UBERON:0003478	vein of lower lip
UBERON:0003479	thoracic cavity vein
UBERON:0003480	vein of clitoris
UBERON:0003481	tail vein
UBERON:0003483	thymus lymphoid tissue
UBERON:0003484	eye sebaceous gland
UBERON:0003485	vagina sebaceous gland
UBERON:0003487	skin sebaceous gland
UBERON:0003488	abdominal mammary gland
UBERON:0003489	respiratory system capillary endothelium
UBERON:0003494	respiratory system venule
UBERON:0003495	respiratory system arteriole
UBERON:0003496	head blood vessel
UBERON:0003497	abdomen blood vessel
UBERON:0003498	heart blood vessel
UBERON:0003499	brain blood vessel
UBERON:0003500	corneal blood vessel
UBERON:0003501	retina blood vessel
UBERON:0003502	neck blood vessel
UBERON:0003503	leg blood vessel
UBERON:0003504	respiratory system blood vessel
UBERON:0003505	trachea blood vessel
UBERON:0003506	chest blood vessel
UBERON:0003507	arm blood vessel
UBERON:0003508	pedal digit blood vessel
UBERON:0003509	arterial blood vessel
UBERON:0003510	eyelid blood vessel
UBERON:0003511	iris blood vessel
UBERON:0003512	lung blood vessel
UBERON:0003513	trunk blood vessel
UBERON:0003514	limb blood vessel
UBERON:0003515	forelimb blood vessel
UBERON:0003516	hindlimb blood vessel
UBERON:0003517	kidney blood vessel
UBERON:0003519	thoracic cavity blood vessel
UBERON:0003520	pelvis blood vessel
UBERON:0003521	pes blood vessel
UBERON:0003522	manual digit blood vessel
UBERON:0003523	manus blood vessel
UBERON:0003524	tail blood vessel
UBERON:0003526	respiratory system capillary
UBERON:0003527	kidney capillary
UBERON:0003528	brain gray matter
UBERON:0003529	respiratory system lymphatic vessel endothelium
UBERON:0003530	pedal digit skin
UBERON:0003531	forelimb skin
UBERON:0003532	hindlimb skin
UBERON:0003533	manual digit skin
UBERON:0003534	tail skin
UBERON:0003535	vagus X nerve trunk
UBERON:0003536	right lung alveolar duct
UBERON:0003537	left lung alveolar duct
UBERON:0003538	right lung bronchiole
UBERON:0003539	left lung bronchiole
UBERON:0003540	right lung terminal bronchiole
UBERON:0003541	left lung terminal bronchiole
UBERON:0003542	right lung respiratory bronchiole
UBERON:0003543	left lung respiratory bronchiole
UBERON:0003544	brain white matter
UBERON:0003546	distal convoluted tubule macula densa
UBERON:0003547	brain meninx
UBERON:0003548	forebrain meninges
UBERON:0003549	brain pia mater
UBERON:0003550	forebrain pia mater
UBERON:0003551	midbrain pia mater
UBERON:0003552	telencephalon pia mater
UBERON:0003553	diencephalon pia mater
UBERON:0003554	hindbrain pia mater
UBERON:0003555	spinal cord pia mater
UBERON:0003556	forebrain arachnoid mater
UBERON:0003557	midbrain arachnoid mater
UBERON:0003558	diencephalon arachnoid mater
UBERON:0003559	hindbrain arachnoid mater
UBERON:0003560	spinal cord arachnoid mater
UBERON:0003561	forebrain dura mater
UBERON:0003562	midbrain dura mater
UBERON:0003563	telencephalon dura mater
UBERON:0003564	diencephalon dura mater
UBERON:0003565	hindbrain dura mater
UBERON:0003566	head connective tissue
UBERON:0003567	abdomen connective tissue
UBERON:0003568	neck connective tissue
UBERON:0003569	leg connective tissue
UBERON:0003570	respiratory system connective tissue
UBERON:0003571	trachea connective tissue
UBERON:0003572	chest connective tissue
UBERON:0003573	arm connective tissue
UBERON:0003574	elbow connective tissue
UBERON:0003575	wrist connective tissue
UBERON:0003576	hip connective tissue
UBERON:0003577	knee connective tissue
UBERON:0003578	pedal digit connective tissue
UBERON:0003579	shoulder connective tissue
UBERON:0003580	lower respiratory tract connective tissue
UBERON:0003581	eyelid connective tissue
UBERON:0003582	nasopharynx connective tissue
UBERON:0003583	larynx connective tissue
UBERON:0003584	mammary gland connective tissue
UBERON:0003585	dermis connective tissue
UBERON:0003586	trunk connective tissue
UBERON:0003587	limb connective tissue
UBERON:0003588	forelimb connective tissue
UBERON:0003589	hindlimb connective tissue
UBERON:0003592	bronchus connective tissue
UBERON:0003593	thoracic cavity connective tissue
UBERON:0003594	pelvis connective tissue
UBERON:0003595	pes connective tissue
UBERON:0003596	ankle connective tissue
UBERON:0003597	manual digit connective tissue
UBERON:0003598	manus connective tissue
UBERON:0003599	tail connective tissue
UBERON:0003601	neck cartilage
UBERON:0003603	lower respiratory tract cartilage
UBERON:0003604	trachea cartilage
UBERON:0003605	eye skin gland
UBERON:0003606	limb long bone
UBERON:0003607	forelimb long bone
UBERON:0003608	hindlimb long bone
UBERON:0003609	aorta elastic tissue
UBERON:0003610	heart elastic tissue
UBERON:0003611	respiratory system elastic tissue
UBERON:0003613	cardiovascular system elastic tissue
UBERON:0003614	blood vessel elastic tissue
UBERON:0003615	lung elastic tissue
UBERON:0003616	bronchus elastic tissue
UBERON:0003617	trachea elastic tissue
UBERON:0003618	aorta tunica media
UBERON:0003619	aorta tunica intima
UBERON:0003643	respiratory system arterial blood vessel
UBERON:0003644	kidney arterial blood vessel
UBERON:0003656	mesopodium bone
UBERON:0003657	limb joint
UBERON:0003658	hip muscle
UBERON:0003659	pedal digit muscle
UBERON:0003660	eyelid muscle
UBERON:0003661	limb muscle
UBERON:0003662	forelimb muscle
UBERON:0003663	hindlimb muscle
UBERON:0003664	manual digit muscle
UBERON:0003665	post-anal tail muscle
UBERON:0003672	dentition
UBERON:0003684	abdominal cavity
UBERON:0003685	cranial suture
UBERON:0003687	foramen magnum
UBERON:0003688	omentum
UBERON:0003691	epidural space
UBERON:0003692	acromioclavicular joint
UBERON:0003695	metacarpophalangeal joint
UBERON:0003696	metatarsophalangeal joint
UBERON:0003697	abdominal wall
UBERON:0003703	extrahepatic bile duct
UBERON:0003704	intrahepatic bile duct
UBERON:0003709	circle of Willis
UBERON:0003711	brachiocephalic vein
UBERON:0003713	splenic vein
UBERON:0003714	neural tissue
UBERON:0003715	splanchnic nerve
UBERON:0003716	recurrent laryngeal nerve
UBERON:0003718	muscle spindle
UBERON:0003721	lingual nerve
UBERON:0003725	cervical nerve plexus
UBERON:0003726	thoracic nerve
UBERON:0003727	intercostal nerve
UBERON:0003728	mediastinum
UBERON:0003729	mouth mucosa
UBERON:0003820	prostate bud
UBERON:0003821	metapodium bone
UBERON:0003822	forelimb stylopod
UBERON:0003823	hindlimb zeugopod
UBERON:0003824	nerve of thoracic segment
UBERON:0003825	nerve of abdominal segment
UBERON:0003826	upper leg bone
UBERON:0003827	thoracic segment bone
UBERON:0003828	abdominal segment bone
UBERON:0003829	urethra muscle tissue
UBERON:0003830	thoracic segment muscle
UBERON:0003831	respiratory system muscle
UBERON:0003832	esophagus muscle
UBERON:0003833	abdominal segment muscle
UBERON:0003834	thoracic segment blood vessel
UBERON:0003835	abdominal segment blood vessel
UBERON:0003836	abdominal segment skin
UBERON:0003837	thoracic segment connective tissue
UBERON:0003838	abdominal segment connective tissue
UBERON:0003839	forelimb joint
UBERON:0003840	hindlimb joint
UBERON:0003841	autopod joint
UBERON:0003842	neural tube lumen
UBERON:0003843	dental epithelium
UBERON:0003846	thymus epithelium
UBERON:0003847	thyroid artery
UBERON:0003848	gonadal vein
UBERON:0003849	mesencephalic neural crest
UBERON:0003850	telencephalon neural crest
UBERON:0003851	diencephalon neural crest
UBERON:0003852	rhombencephalon neural crest
UBERON:0003853	spinal cord neural crest
UBERON:0003854	spinal cord neural plate
UBERON:0003855	gonad mesenchyme
UBERON:0003856	uncondensed odontogenic mesenchyme
UBERON:0003859	forelimb mesenchyme
UBERON:0003860	hindlimb mesenchyme
UBERON:0003861	neural arch
UBERON:0003864	middle phalanx of manus
UBERON:0003865	distal phalanx of manus
UBERON:0003866	middle phalanx of pes
UBERON:0003867	distal phalanx of pes
UBERON:0003868	proximal phalanx of pes
UBERON:0003869	presumptive ganglion
UBERON:0003885	mesometrium
UBERON:0003886	future coelemic cavity lumen
UBERON:0003887	intraembryonic coelom
UBERON:0003889	fallopian tube
UBERON:0003890	Mullerian duct
UBERON:0003891	stroma
UBERON:0003893	capsule
UBERON:0003894	liver primordium
UBERON:0003897	axial muscle
UBERON:0003898	skeletal muscle tissue of trunk
UBERON:0003902	retinal neural layer
UBERON:0003909	sinusoid
UBERON:0003910	splenic sinusoid
UBERON:0003911	choroid plexus epithelium
UBERON:0003913	tooth-like structure
UBERON:0003914	epithelial tube
UBERON:0003915	endothelial tube
UBERON:0003918	kidney mesenchyme
UBERON:0003920	venous blood vessel
UBERON:0003921	pancreas primordium
UBERON:0003922	pancreatic epithelial bud
UBERON:0003923	dorsal pancreatic bud
UBERON:0003924	ventral pancreatic bud
UBERON:0003928	digestive system duct
UBERON:0003929	digestive tract epithelium
UBERON:0003931	diencephalic white matter
UBERON:0003932	cartilage element of chondrocranium
UBERON:0003933	cranial cartilage
UBERON:0003937	reproductive gland
UBERON:0003942	somatic sensory system
UBERON:0003946	placenta labyrinth
UBERON:0003947	brain ventricle/choroid plexus
UBERON:0003952	anterior stroma of cornea
UBERON:0003953	posterior stroma of cornea
UBERON:0003956	aqueous drainage system
UBERON:0003959	rete testis
UBERON:0003967	cutaneous elastic tissue
UBERON:0003970	placental labyrinth vasculature
UBERON:0003975	internal female genitalia
UBERON:0003978	valve
UBERON:0003980	cerebellum fissure
UBERON:0003983	conus arteriosus
UBERON:0003984	uterine tube infundibulum
UBERON:0003988	thymus corticomedullary boundary
UBERON:0003990	spinal cord motor column
UBERON:0004001	olfactory bulb layer
UBERON:0004015	embryonic-extraembryonic boundary
UBERON:0004016	dermatome
UBERON:0004022	germinal neuroepithelium
UBERON:0004035	cortical subplate
UBERON:0004040	cortical intermediate zone
UBERON:0004041	spleen primary B follicle
UBERON:0004042	spleen secondary B follicle
UBERON:0004043	semicircular canal ampulla
UBERON:0004044	anterior visceral endoderm
UBERON:0004053	external male genitalia
UBERON:0004054	internal male genitalia
UBERON:0004058	biliary ductule
UBERON:0004059	spinal cord medial motor column
UBERON:0004060	neural tube ventricular layer
UBERON:0004061	neural tube mantle layer
UBERON:0004062	neural tube marginal layer
UBERON:0004064	neural tube basal plate
UBERON:0004066	frontonasal prominence
UBERON:0004067	lateral nasal prominence
UBERON:0004068	medial nasal prominence
UBERON:0004086	brain ventricle
UBERON:0004087	vena cava
UBERON:0004088	orbital region
UBERON:0004099	joint space of elbow
UBERON:0004103	alveolar ridge
UBERON:0004109	cortex of humerus
UBERON:0004111	anatomical conduit
UBERON:0004113	muscle of auditory ossicle
UBERON:0004114	tympanic cavity
UBERON:0004115	blood vessel of tympanic cavity
UBERON:0004116	nerve of tympanic cavity
UBERON:0004117	pharyngeal pouch
UBERON:0004118	vasculature of iris
UBERON:0004119	endoderm-derived structure
UBERON:0004120	mesoderm-derived structure
UBERON:0004121	ectoderm-derived structure
UBERON:0004122	genitourinary system
UBERON:0004128	optic vesicle
UBERON:0004129	growth plate cartilage
